#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
219,Jake Meyers,HOU,96,324,358,76,50,16,2,9,42,38,26,0,94,5,2,1,6,2,0.236
220,Luis García Jr.,WSN,115,435,467,119,82,23,3,10,54,51,25,1,71,2,4,1,7,3,0.273
221,Javier Báez,DET,132,502,539,121,81,23,3,14,61,61,25,0,134,8,3,1,11,3,0.241
222,Michael A. Taylor,,97,343,377,79,51,13,1,13,45,43,27,0,113,3,2,2,9,2,0.231
223,Gio Urshela,DET,82,298,322,82,58,15,1,7,35,37,19,0,58,2,3,0,2,1,0.274
224,Freddy Fermin,KCR,54,182,200,47,31,9,1,6,23,24,14,0,43,1,1,1,0,0,0.256
225,Luke Raley,SEA,105,359,404,83,50,15,1,16,50,49,29,1,127,12,3,1,10,2,0.232
226,J.D. Martinez,,108,438,486,112,64,25,1,22,61,74,40,1,135,3,5,0,1,0,0.256
227,Kyle Isbel,KCR,100,341,373,83,52,19,3,9,47,39,25,0,78,3,2,1,10,3,0.243
228,Tim Anderson,MIA,125,507,539,140,108,24,2,7,65,45,25,0,114,4,2,1,15,4,0.276
229,José Caballero,TBR,86,253,297,57,39,12,1,5,37,27,32,0,68,9,3,1,22,4,0.227
230,Wilyer Abreu,BOS,111,378,433,92,57,20,1,13,54,51,49,1,113,3,2,1,10,3,0.242
231,Joey Ortiz,MIL,93,299,327,77,52,17,2,6,38,35,21,1,67,3,4,1,5,1,0.257
232,Victor Caratini,HOU,68,222,250,53,37,8,0,7,26,28,21,1,53,4,2,1,1,0,0.237
233,Myles Straw,CLE,118,412,460,102,79,19,2,2,51,32,40,0,81,2,4,3,19,4,0.248
234,Andrew Benintendi,CHW,135,513,573,137,99,27,2,8,67,50,51,2,87,3,4,2,11,3,0.267
235,Iván Herrera,STL,50,158,187,39,27,8,0,4,22,20,22,0,44,3,2,2,2,1,0.245
236,Miguel Amaya,CHC,70,221,254,50,32,10,0,7,27,28,23,1,68,7,2,1,1,0,0.225
237,Nelson Velázquez,KCR,105,372,412,88,45,18,1,23,52,55,33,2,124,4,2,1,6,2,0.236
238,Michael Conforto,SFG,116,409,472,101,67,19,0,15,56,56,52,3,105,8,3,0,3,1,0.247
239,Alex Kirilloff,MIN,102,359,400,95,62,19,1,13,48,51,31,1,93,7,3,0,2,1,0.265
240,Seth Brown,OAK,118,416,460,96,53,22,2,20,51,62,38,2,123,3,2,1,6,2,0.231
241,Anthony Rizzo,NYY,120,444,509,106,65,19,1,21,63,64,47,2,104,15,3,0,3,2,0.238
242,Ramón Urías,BAL,78,270,299,67,46,14,1,7,33,32,22,0,73,5,2,1,2,1,0.249
243,Starling Marte,NYM,112,428,470,112,80,19,2,11,59,47,28,1,93,10,2,1,25,6,0.261
244,Matt Vierling,DET,103,373,413,96,67,18,3,8,48,39,32,1,85,4,3,1,7,3,0.258
245,Nick Fortes,MIA,90,288,318,67,45,12,1,9,35,32,21,0,58,6,2,1,5,2,0.231
246,Will Benson,CIN,108,349,409,80,47,16,4,13,56,43,52,1,126,4,2,2,16,3,0.229
247,Connor Wong,BOS,101,334,363,79,49,18,1,11,42,39,21,0,111,4,2,2,6,2,0.237
248,Jarred Kelenic,ATL,126,455,510,110,65,26,2,17,66,63,48,3,143,3,3,1,14,4,0.242
249,Patrick Wisdom,CHC,92,312,353,66,33,12,0,20,45,51,34,1,126,4,2,1,5,2,0.21
250,Darell Hernaiz,OAK,88,322,352,80,57,16,2,5,37,31,21,1,61,3,2,3,8,2,0.249
251,Christian Bethancourt,MIA,76,259,276,62,41,12,0,9,32,31,13,0,69,1,2,1,2,1,0.24
252,Tom Murphy,SFG,55,181,203,44,28,8,0,8,23,23,19,0,57,2,2,0,0,0,0.243
253,Josh Bell,MIA,141,519,592,132,85,25,1,20,67,73,65,2,116,4,4,0,0,0,0.255
254,Drew Waters,KCR,87,295,328,71,43,15,3,9,41,33,27,0,101,3,2,0,12,3,0.239
255,José Abreu,HOU,137,522,583,133,89,26,1,18,68,79,46,1,120,9,5,0,0,0,0.256
256,Jesús Sánchez,MIA,117,405,450,100,60,20,3,17,52,57,39,1,117,4,2,1,3,1,0.247
257,Yasmani Grandal,PIT,80,261,303,59,42,10,0,7,29,30,37,0,64,2,2,0,0,0,0.227
258,Mike Tauchman,CHC,89,306,356,74,50,16,1,7,47,35,44,1,83,3,2,1,6,2,0.242
259,Christian Vázquez,MIN,75,257,280,62,45,12,0,5,28,28,18,0,56,2,2,1,2,1,0.242
260,Tommy Pham,,118,425,481,105,68,21,2,14,62,54,48,0,114,4,4,1,15,3,0.248
261,Jake Fraley,CIN,99,336,385,85,53,17,1,14,49,51,41,2,82,5,2,1,15,4,0.252
262,Brett Baty,NYM,109,389,433,93,63,17,0,13,49,48,37,0,116,4,2,1,2,1,0.238
263,Jared Triolo,PIT,65,233,263,59,41,13,1,4,31,24,26,0,68,2,2,0,7,2,0.252
264,Cavan Biggio,TOR,96,308,360,70,44,15,1,9,46,37,43,1,95,5,3,1,5,1,0.226
265,Jason Heyward,LAD,97,320,357,79,50,16,1,11,45,40,31,1,67,4,2,0,3,1,0.246
266,J.D. Davis,SFG,110,383,437,95,63,18,1,14,50,50,44,1,126,6,3,0,1,0,0.248
267,Nick Castellanos,PHI,144,570,616,150,92,32,1,24,75,87,37,1,156,4,4,0,8,2,0.263
268,Brandon Belt,,77,281,330,65,36,13,1,14,41,40,44,1,103,4,2,0,1,0,0.23
269,Jean Segura,CLE,65,239,262,63,46,10,1,5,29,25,17,0,40,3,1,1,6,2,0.262
270,Tyler Black,MIL,64,226,262,54,35,12,3,6,33,26,30,1,60,4,1,1,12,3,0.24
271,Hunter Renfroe,KCR,116,435,480,106,62,24,0,20,57,63,37,0,106,3,3,1,1,0,0.244
272,Santiago Espinal,TOR,79,259,285,68,50,14,0,4,31,28,21,1,41,2,2,1,4,2,0.261
273,Carson Kelly,DET,74,234,264,52,35,11,0,6,26,26,24,0,59,3,2,0,1,0,0.222
274,Josh Donaldson,,59,204,235,45,25,10,0,10,28,30,26,0,61,2,2,0,1,0,0.221
275,Josh Rojas,SEA,82,277,311,66,46,14,1,5,37,29,29,1,70,1,3,2,10,2,0.239
276,Abraham Toro,OAK,95,302,336,70,45,17,1,8,35,35,26,1,67,5,2,1,3,1,0.232
277,Elvis Andrus,ARI,75,269,292,67,47,13,1,5,33,29,18,0,50,3,1,1,8,2,0.25
278,Mitch Haniger,SEA,110,407,452,95,57,18,1,19,54,58,36,1,118,6,4,1,1,0,0.233
279,Ceddanne Rafaela,BOS,74,264,283,68,44,14,2,7,37,32,13,0,67,3,2,1,11,3,0.257
280,Isiah Kiner-Falefa,TOR,93,325,356,83,64,14,1,4,40,32,23,0,59,4,2,1,13,4,0.256
281,Max Stassi,CHW,60,202,228,43,28,8,1,7,23,23,21,0,67,3,1,0,0,0,0.211
282,Brandon Crawford,STL,81,277,311,65,43,13,1,9,35,36,27,2,73,4,3,1,3,1,0.235
283,Kyle Farmer,MIN,73,254,279,63,44,12,1,6,32,32,16,0,58,6,2,1,2,1,0.247
284,Gabriel Arias,CLE,78,255,281,59,39,12,1,8,31,29,21,0,81,2,1,1,3,1,0.232
285,Sean Bouchard,COL,100,301,346,77,44,18,2,13,47,43,38,0,94,3,3,0,6,2,0.254
286,Andy Ibáñez,DET,69,244,266,62,41,13,1,7,29,29,18,0,46,2,1,1,2,1,0.255
287,Ryan O'Hearn,BAL,105,364,394,94,60,18,1,15,47,55,23,1,93,3,3,1,3,1,0.26
288,Lawrence Butler,OAK,80,281,307,65,41,13,1,9,32,32,21,1,81,2,2,1,6,1,0.232
289,Zach McKinstry,DET,93,325,363,77,50,15,3,8,42,32,30,0,81,4,2,2,10,3,0.236
290,Ezequiel Duran,TEX,82,291,314,74,46,16,2,10,38,36,17,1,82,4,2,1,6,2,0.254
291,Jorge Mateo,BAL,60,202,219,47,30,10,2,5,29,21,12,0,55,2,1,2,16,3,0.232
292,Dylan Moore,SEA,63,185,213,38,22,9,1,7,27,22,21,0,65,5,1,0,11,4,0.208
293,Colson Montgomery,CHW,52,186,214,43,29,8,1,5,24,21,22,1,50,4,1,0,1,0,0.234
294,Victor Robles,WSN,97,319,362,76,53,16,2,6,42,30,25,1,79,10,2,6,15,4,0.24
295,Luke Maile,CIN,62,183,205,42,28,9,0,5,21,23,17,0,54,3,1,1,1,0,0.229
296,Manuel Margot,MIN,79,283,308,75,53,16,1,6,38,36,20,0,51,2,2,1,8,3,0.265
297,Miguel Rojas,LAD,69,246,268,62,45,12,1,4,29,25,16,0,33,3,2,1,5,2,0.252
298,Elias Díaz,COL,115,407,443,104,69,21,1,13,46,54,30,0,95,2,3,0,1,0,0.255
299,Jake McCarthy,ARI,63,214,238,55,39,10,3,3,30,21,18,0,49,4,1,2,17,3,0.258
300,Gary Sánchez,MIL,69,237,268,51,27,9,0,14,30,38,25,0,73,4,2,0,1,0,0.214
301,Austin Slater,SFG,73,216,245,55,37,10,1,6,31,25,25,0,67,3,1,0,6,2,0.253
302,Omar Narváez,NYM,64,202,230,47,34,9,0,4,22,20,22,0,45,3,2,1,0,0,0.232
303,Miguel Vargas,LAD,53,183,208,46,28,11,1,6,27,25,21,1,42,3,2,0,3,1,0.25
304,Garrett Mitchell,MIL,85,302,339,73,49,13,2,8,41,34,29,0,103,4,2,2,12,2,0.24
305,Jose Trevino,NYY,72,242,258,57,40,10,1,6,26,27,12,0,43,2,1,1,1,1,0.234
306,Andruw Monasterio,MIL,72,244,276,60,43,12,1,4,32,26,27,0,62,3,2,0,7,2,0.246
307,Connor Joe,PIT,91,319,368,77,49,17,2,8,45,36,41,0,82,5,2,0,3,2,0.241
308,Liover Peguero,PIT,105,377,408,92,63,17,2,10,45,41,24,0,107,2,2,3,13,3,0.244
309,Akil Baddoo,DET,78,259,294,60,39,12,3,8,36,28,32,1,73,1,1,1,11,3,0.233
310,Josh Smith,TEX,52,157,183,36,23,8,1,4,22,17,19,0,40,5,1,1,3,1,0.229
311,Edmundo Sosa,PHI,62,203,219,50,33,10,2,6,26,24,8,0,52,6,1,1,4,1,0.247
312,Buddy Kennedy,DET,19,53,60,13,9,3,0,1,7,6,6,0,13,1,0,0,1,0,0.243
313,Reese McGuire,BOS,71,226,247,55,40,12,1,2,23,20,14,0,57,2,2,3,2,1,0.246
314,Mauricio Dubón,HOU,86,307,331,80,57,15,1,7,41,34,16,0,48,3,3,1,5,2,0.261
315,Taylor Walls,TBR,74,248,285,51,33,12,1,6,34,26,33,0,73,1,1,1,12,3,0.207
316,JJ Bleday,OAK,116,398,462,85,49,19,2,15,51,47,56,0,115,3,4,1,6,2,0.213
317,Kyle Higashioka,SDP,63,203,220,44,27,9,0,8,22,27,13,0,58,1,2,1,0,0,0.219
318,James McCann,BAL,58,192,210,45,31,8,0,5,22,22,13,0,54,3,1,1,2,1,0.233
319,Jakob Marsee,SDP,42,150,173,35,23,7,1,4,21,16,20,0,39,2,1,0,6,1,0.232
320,Brenton Doyle,COL,125,446,481,104,67,19,4,14,57,51,25,0,161,4,3,3,20,4,0.233
321,Adam Duvall,,91,349,384,77,40,16,1,20,47,57,26,0,119,5,3,0,3,1,0.222
322,Nicky Lopez,CHW,109,358,403,87,69,14,2,2,44,28,33,0,60,5,2,6,11,3,0.243
323,Will Brennan,CLE,78,279,300,76,55,16,1,4,31,31,17,1,41,3,2,0,8,2,0.272
324,Estevan Florial,CLE,66,223,251,50,31,11,1,7,30,26,24,1,82,2,2,1,10,3,0.224
325,Kolten Wong,,61,202,226,48,32,10,1,5,27,24,17,1,43,5,2,1,5,2,0.24
326,Kyle Manzardo,CLE,98,352,402,81,47,20,1,13,42,47,42,1,84,3,5,1,1,0,0.231
327,Brian Anderson,SEA,49,170,193,39,26,8,0,5,21,21,18,0,54,4,1,0,1,0,0.229
328,Michael Busch,CHC,101,349,395,82,50,18,1,13,47,46,37,0,108,5,3,1,3,1,0.236
329,Adam Frazier,KCR,85,295,325,76,55,16,2,4,38,31,23,1,43,3,2,2,7,3,0.259
330,Edward Olivares,PIT,82,296,323,78,51,16,2,9,40,34,20,0,58,5,2,1,9,3,0.263
331,Giancarlo Stanton,NYY,104,385,435,87,48,14,0,26,52,68,45,2,127,2,2,0,0,0,0.227
332,Joey Gallo,WSN,109,346,410,65,30,12,1,22,49,52,59,1,159,4,1,0,2,1,0.187
333,Alex Jackson,TBR,42,145,159,31,17,7,1,6,17,19,10,0,52,3,1,0,0,0,0.21
334,Xavier Edwards,MIA,46,150,167,41,33,7,0,2,19,14,13,0,23,1,1,2,6,1,0.274
335,Kris Bryant,COL,114,430,484,114,72,25,1,16,62,56,44,0,99,7,2,0,2,1,0.265
336,Tyrone Taylor,NYM,85,288,312,67,39,14,2,12,38,40,17,0,73,5,2,0,7,2,0.233
337,Donovan Solano,,79,270,301,73,53,15,0,5,31,29,22,0,64,6,2,0,0,0,0.271
338,Heston Kjerstad,BAL,68,233,256,60,39,12,2,8,31,28,16,1,59,4,1,0,1,0,0.258
339,Nick Allen,OAK,68,224,246,52,39,10,1,3,24,17,15,0,42,1,1,4,5,2,0.233
340,Joshua Palacios,PIT,91,305,337,78,53,14,2,9,39,39,23,0,69,5,2,3,8,2,0.257
341,Evan Longoria,,59,196,219,45,27,9,0,9,25,28,19,0,63,2,2,0,0,0,0.232
342,Paul DeJong,CHW,93,323,355,66,40,13,0,13,37,39,24,0,106,5,3,0,4,2,0.204
343,Rob Refsnyder,BOS,63,194,225,51,35,10,1,4,28,24,25,0,51,4,2,0,4,1,0.26
344,Jasson Domínguez,NYY,42,159,179,38,25,7,1,5,24,20,18,1,47,1,1,0,7,1,0.242
345,Tyler Freeman,CLE,32,103,115,27,20,6,0,2,13,12,7,0,17,3,1,1,3,1,0.266
346,Jonny DeLuca,TBR,94,276,305,64,38,14,2,10,35,35,22,1,64,4,2,1,6,1,0.232
347,Oswald Peraza,NYY,55,194,214,45,32,8,1,5,25,21,15,0,50,4,1,0,7,2,0.234
348,Joey Wiemer,MIL,70,231,257,53,33,11,1,8,31,29,22,0,72,3,1,0,8,2,0.228
349,Whit Merrifield,PHI,101,407,442,106,76,21,1,8,54,46,27,0,74,2,5,1,18,5,0.261
350,Luis Matos,SFG,67,236,259,62,45,12,1,5,31,27,18,0,33,3,1,1,9,1,0.264
351,Andrew Knizner,TEX,50,166,183,37,25,7,0,6,20,20,13,0,43,3,1,1,1,0,0.225
352,Matt Thaiss,LAA,51,158,182,34,23,6,0,5,19,19,19,0,47,2,2,0,1,0,0.216
353,Carlos Santana,MIN,115,422,484,96,62,19,1,15,55,58,57,1,84,2,3,1,3,1,0.229
354,Spencer Horwitz,TOR,30,97,111,25,17,6,0,2,12,12,12,0,22,1,1,0,1,0,0.255
355,Alexander Canario,CHC,38,138,150,31,17,7,0,6,19,20,11,0,47,1,0,0,2,0,0.227
356,Riley Adams,WSN,50,163,182,36,21,9,1,5,17,20,15,0,56,4,1,0,0,0,0.222
357,Jordan Diaz,OAK,76,270,290,67,46,13,0,8,27,32,15,1,58,3,1,0,1,0,0.249
358,Dominic Canzone,SEA,65,225,243,55,34,12,1,8,29,30,15,0,48,2,1,0,3,1,0.244
359,Enrique Hernández,LAD,81,308,342,72,47,16,1,8,39,39,26,0,65,3,3,0,2,1,0.235
360,Andrew McCutchen,PIT,108,392,458,95,62,19,1,13,54,50,59,0,99,4,4,0,8,2,0.242
361,Dominic Fletcher,CHW,98,356,393,85,58,17,3,8,43,38,27,1,93,4,2,3,4,2,0.24
362,Wander Franco,TBR,11,44,48,12,8,3,0,1,7,6,4,0,6,0,0,0,2,1,0.286
363,Robbie Grossman,,96,328,385,75,48,16,1,9,45,40,49,0,94,4,4,1,5,1,0.228
364,Rowdy Tellez,PIT,107,371,418,88,53,17,1,18,45,58,40,3,89,3,3,0,1,0,0.237
365,Enmanuel Valdez,BOS,42,137,151,34,20,8,1,5,18,19,12,0,36,1,1,0,3,1,0.246
366,Garrett Hampson,KCR,63,196,219,48,34,9,1,3,26,18,17,0,54,2,1,2,7,1,0.245
367,C.J. Cron,BOS,82,325,360,78,47,15,1,15,43,50,28,1,90,5,3,0,0,0,0.241
368,Ji Hwan Bae,PIT,70,242,269,61,44,13,2,2,34,23,22,0,60,2,1,1,15,4,0.252
369,Lenyn Sosa,CHW,63,225,240,55,36,10,0,8,24,26,11,0,55,1,1,2,1,1,0.243
370,Dairon Blanco,KCR,37,101,111,26,18,5,1,2,14,10,7,0,27,2,0,1,13,2,0.256
371,Blake Sabol,SFG,30,96,106,22,14,4,0,4,11,12,8,0,34,1,0,0,1,0,0.231
372,Jesse Winker,,76,254,300,61,41,12,0,7,32,32,41,1,60,4,2,0,0,0,0.241
373,Adalberto Mondesi,,54,210,225,47,30,9,2,6,30,22,11,0,70,1,1,2,17,3,0.223
374,Kevin Smith,NYY,29,80,87,16,10,3,0,2,10,9,5,0,28,0,1,1,2,0,0.203
375,Austin Barnes,LAD,51,164,186,35,25,6,0,4,20,17,17,0,40,2,1,1,2,1,0.214
376,Michael Stefanic,LAA,32,101,114,27,21,4,0,1,12,10,10,0,14,2,0,0,1,1,0.267
377,Rougned Odor,,54,142,158,31,18,7,0,5,18,18,13,0,38,3,1,0,2,1,0.216
378,Randal Grichuk,ARI,72,264,285,66,41,13,1,10,34,34,16,0,62,3,2,0,1,1,0.249
379,Francisco Mejía,,38,126,135,30,19,7,0,4,14,15,6,0,31,2,1,0,0,0,0.239
380,Brooks Lee,MIN,32,116,127,28,19,7,0,3,14,13,9,0,24,1,1,0,1,0,0.245
381,Nick Gonzales,PIT,56,197,222,46,29,11,2,4,24,22,18,0,63,4,2,1,2,1,0.233
382,Sam Haggerty,SEA,43,119,135,29,19,6,1,3,16,12,12,0,30,2,1,1,8,1,0.239
383,Aledmys Díaz,OAK,78,271,295,65,43,15,0,6,27,29,16,1,54,5,2,1,1,0,0.238
384,Austin Meadows,,29,103,116,26,15,6,1,4,14,16,11,0,20,1,1,0,1,0,0.252
385,Daniel Vogelbach,,44,145,170,33,21,6,0,7,19,22,24,1,42,1,0,0,0,0,0.23
386,Harold Ramírez,TBR,79,290,313,82,58,16,1,7,35,39,15,0,55,5,3,0,3,1,0.282
387,Mike Zunino,,30,96,107,18,10,4,0,5,12,13,9,0,41,1,1,0,0,0,0.19
388,Mickey Moniak,LAA,95,356,381,84,49,17,3,15,44,45,17,1,123,4,2,3,6,2,0.237
389,Alex Call,WSN,44,142,163,32,21,7,0,4,18,16,18,0,31,2,0,1,4,1,0.225
390,Colton Cowser,BAL,45,145,168,34,23,7,0,4,21,17,19,0,50,2,2,0,2,1,0.234
391,Rodolfo Castro,PHI,28,91,100,20,12,4,0,4,11,11,8,0,29,1,0,0,1,0,0.219
392,Curtis Mead,TBR,45,166,185,42,27,10,0,5,21,21,15,1,38,2,2,0,2,1,0.256
393,Orelvis Martinez,TOR,36,132,147,29,16,6,0,6,16,19,12,1,40,1,1,0,0,0,0.216
394,Miles Mastrobuoni,CHC,28,82,92,21,15,4,0,1,11,7,9,0,22,0,0,0,4,1,0.252
395,Trevor Larnach,MIN,60,204,233,46,28,10,1,8,27,29,25,1,76,2,2,0,1,0,0.227
396,Braden Shewmake,CHW,45,132,142,29,19,6,1,3,15,14,8,0,32,1,1,0,3,1,0.222
397,Austin Hedges,CLE,56,171,190,33,24,5,0,4,16,16,12,0,47,2,2,3,1,1,0.194
398,Nick Senzel,WSN,98,341,376,80,55,15,1,9,44,37,28,0,77,3,2,1,8,3,0.236
399,Alec Burleson,STL,60,207,226,54,37,11,1,6,25,27,15,0,34,2,2,0,2,0,0.259
400,Curt Casali,,26,74,86,15,10,3,0,2,8,8,9,0,24,2,0,1,0,0,0.204
401,Garrett Stubbs,PHI,34,104,118,23,16,4,1,2,13,11,11,0,28,1,1,2,2,0,0.218
402,Eric Haase,MIL,33,111,120,24,16,4,0,4,12,14,8,0,35,0,1,0,1,0,0.221
403,Oswaldo Cabrera,NYY,47,155,171,35,23,7,0,5,20,19,13,0,41,1,1,1,4,1,0.229
404,Wade Meckler,SFG,27,76,86,21,15,4,1,1,10,8,8,0,20,1,0,0,1,0,0.272
405,Nick Gordon,MIA,69,231,250,57,37,13,2,6,29,27,12,0,52,3,2,1,5,2,0.249
406,Eguy Rosario,SDP,42,139,152,32,21,7,1,3,17,15,11,1,38,1,1,0,3,1,0.233
407,Carter Kieboom,WSN,62,218,245,50,34,9,1,6,26,24,22,0,61,3,1,0,1,0,0.228
408,Austin Nola,KCR,20,60,69,14,10,3,0,1,7,6,6,0,12,1,0,1,0,0,0.24
409,Garrett Cooper,CHC,89,318,354,80,52,16,1,11,38,43,29,0,97,4,2,0,0,0,0.251
410,Juan Brito,CLE,19,50,56,12,8,3,0,1,6,6,6,0,11,0,0,0,1,0,0.241
411,Drew Millas,WSN,14,44,49,10,7,2,0,1,5,4,5,0,10,0,0,0,0,0,0.236
412,Franmil Reyes,,26,84,93,19,12,3,0,4,10,12,7,0,30,1,1,0,0,0,0.227
413,Manny Piña,,10,32,35,7,5,1,0,1,4,4,3,0,7,1,0,0,0,0,0.228
414,Miguel Andujar,OAK,59,209,226,53,36,11,1,5,23,26,14,1,35,1,2,0,3,1,0.256
415,Travis Jankowski,TEX,56,161,186,40,31,7,1,1,23,14,22,0,33,2,1,1,9,2,0.247
416,Addison Barger,TOR,15,53,59,12,8,3,0,2,6,6,5,0,16,1,0,0,0,0,0.232
417,Jonathan Aranda,TBR,51,162,184,40,26,8,1,5,22,22,18,1,47,3,1,0,1,0,0.245
418,Ildemaro Vargas,WSN,60,207,223,51,37,10,1,3,22,21,13,0,24,1,1,1,2,1,0.247
419,Sam Hilliard,COL,31,90,101,19,12,4,0,3,12,10,9,0,34,1,1,0,3,0,0.21
420,Christian Arroyo,MIL,35,102,110,25,17,5,0,2,11,12,6,0,22,1,1,1,1,1,0.251
421,Stuart Fairchild,CIN,62,184,209,42,26,9,1,6,26,22,17,0,58,5,1,1,6,2,0.228
422,Rafael Marchán,PHI,9,33,36,8,6,2,0,0,4,4,3,0,5,1,0,0,0,0,0.241
423,Pablo Reyes,BOS,36,112,123,28,20,6,0,2,15,12,10,0,22,0,1,0,3,1,0.252
424,Nick Ahmed,SFG,45,150,162,34,23,8,1,3,17,15,10,0,39,1,1,0,3,1,0.229
425,Sam Huff,TEX,28,86,94,20,13,3,0,4,10,12,7,1,30,1,0,0,0,0,0.232
426,Seby Zavala,SEA,44,137,153,27,17,5,0,4,14,15,11,0,56,1,1,2,1,0,0.194
427,Luis Torrens,,44,97,106,23,15,4,0,3,11,12,7,0,29,1,1,0,0,0,0.234
428,David Fry,CLE,37,101,112,24,14,6,0,3,12,13,8,0,27,2,1,0,1,0,0.234
429,Yu Chang,,30,79,87,17,10,4,0,3,10,10,5,0,25,1,1,0,1,0,0.219
430,Nick Loftin,KCR,31,109,120,27,20,6,0,2,13,12,8,0,20,1,1,0,2,1,0.251
431,Jace Peterson,ARI,46,148,169,34,24,6,1,3,19,16,18,1,40,2,1,1,5,1,0.232
432,Jackson Merrill,SDP,51,194,209,49,34,10,1,4,23,22,12,0,33,1,1,1,4,1,0.252
433,Jacob Young,WSN,30,103,114,26,19,5,1,1,12,10,8,0,21,1,0,2,7,1,0.256
434,Jordan Luplow,ATL,27,80,90,17,10,4,0,3,11,11,9,0,23,1,0,0,1,0,0.217
435,Luis Guillorme,ATL,31,92,107,23,18,4,0,1,11,8,12,0,19,1,1,1,0,0,0.248
436,Eduardo Escobar,TOR,49,171,186,40,25,8,2,5,20,22,13,0,44,0,2,0,0,0,0.233
437,Mark Vientos,NYM,99,356,390,83,51,16,1,16,42,49,28,1,113,3,2,0,1,0,0.234
438,Tucker Barnhart,ARI,42,131,145,28,22,5,0,1,12,12,12,0,40,1,1,0,1,0,0.217
439,Owen Miller,MIL,52,185,201,46,32,10,0,4,22,21,12,0,41,2,2,0,4,1,0.251
440,David Villar,SFG,21,68,76,14,8,3,0,3,9,9,7,0,23,1,0,0,0,0,0.212
441,Matt Mervis,CHC,48,167,186,39,24,9,0,7,21,24,17,1,48,3,0,0,0,0,0.235
442,Coby Mayo,BAL,8,28,31,7,4,1,0,1,3,4,3,0,9,0,0,0,0,0,0.237
443,José Fermín,STL,20,64,73,16,12,3,0,1,9,7,6,0,10,1,0,1,1,0,0.246
444,Jacob Stallings,COL,54,171,193,41,29,8,0,3,18,18,17,0,42,2,1,1,0,0,0.237
445,Osleivis Basabe,TBR,15,51,55,13,9,3,0,0,6,5,3,0,10,0,0,0,1,0,0.257
446,Cade Marlowe,SEA,46,153,168,32,21,6,1,4,19,17,13,0,54,2,1,0,6,2,0.211
447,Roberto Pérez,BOS,16,51,57,10,6,2,0,2,6,6,6,0,19,0,0,0,0,0,0.203
448,Ali Sánchez,PIT,9,33,36,8,6,2,0,0,3,3,3,0,8,0,0,0,0,0,0.24
449,Jace Jung,DET,10,36,40,8,5,2,0,1,4,5,4,0,11,0,0,0,0,0,0.222
