#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
450,Jurickson Profar,SDP,112,399,455,95,63,21,1,9,51,43,47,0,77,5,3,1,3,1,0.237
451,Charles Leblanc,LAA,12,33,37,8,5,1,0,1,4,4,3,0,11,0,0,0,0,0,0.233
452,Jonathan Schoop,,51,177,191,42,29,8,0,5,20,20,10,0,42,2,2,0,1,0,0.238
453,Pedro Pagés,STL,8,28,31,6,4,1,0,1,3,3,2,0,8,0,0,0,0,0,0.224
454,Dillon Dingler,DET,8,26,29,6,3,1,0,1,3,3,2,0,9,1,0,0,0,0,0.214
455,Jorge Alfaro,CHC,20,66,70,16,11,3,0,1,7,8,3,0,21,1,0,0,1,0,0.237
456,Nick Maton,BAL,22,67,76,15,9,3,0,2,8,8,8,0,20,1,1,0,0,0,0.218
457,Martín Maldonado,CHW,81,264,296,51,31,9,0,10,28,30,23,0,95,3,1,4,0,0,0.193
458,Matt Shaw,CHC,12,44,47,11,8,2,0,1,6,5,2,0,9,1,0,0,2,0,0.26
459,Tucupita Marcano,SDP,36,119,131,29,20,6,1,2,14,12,9,0,24,1,1,1,3,1,0.24
460,Dominic Smith,,58,205,228,52,36,11,0,5,24,24,17,1,42,4,2,0,1,0,0.253
461,Brett Harris,OAK,10,37,41,8,6,2,0,1,4,4,3,0,9,1,0,1,1,0,0.227
462,Jair Camargo,MIN,6,19,21,4,2,1,0,1,2,2,1,0,7,0,0,0,0,0,0.213
463,Jake Lamb,,17,55,62,12,8,2,0,2,7,6,6,0,17,1,0,0,0,0,0.221
464,Luisangel Acuña,,13,36,39,9,6,2,0,1,5,3,3,0,9,0,0,0,2,0,0.243
465,George Valera,CLE,16,56,64,12,8,2,0,2,7,7,7,0,19,0,0,0,0,0,0.216
466,Jeter Downs,NYY,34,51,58,10,7,2,0,1,7,5,6,0,16,1,0,0,5,0,0.204
467,Michael Chavis,SEA,50,136,146,30,20,6,1,4,15,15,7,0,46,1,1,0,1,0,0.222
468,Keston Hiura,,22,68,76,16,9,3,0,3,9,10,6,0,27,2,0,0,1,0,0.23
469,Eddys Leonard,DET,8,30,32,7,5,2,0,1,4,4,2,0,8,0,0,0,0,0,0.244
470,Otto Lopez,SFG,30,109,118,28,22,5,1,0,13,10,7,0,21,1,0,0,3,1,0.258
471,Pavin Smith,ARI,28,92,104,22,14,4,0,3,11,12,11,0,22,0,0,0,0,0,0.24
472,Chad Wallach,LAA,31,80,88,16,10,3,0,2,8,8,6,0,28,1,1,1,0,0,0.198
473,Ben Rortvedt,NYY,14,41,46,8,5,2,0,1,5,5,4,0,13,1,0,0,0,0,0.195
474,Jonathan Ornelas,TEX,19,39,42,9,6,2,0,1,5,4,3,0,12,0,0,0,1,0,0.227
475,Ryan Kreidler,DET,16,47,53,10,6,2,0,1,6,5,5,0,16,0,0,0,1,0,0.212
476,Zack Short,NYM,26,75,88,15,9,3,0,3,9,9,10,0,26,0,2,0,1,0,0.195
477,Samad Taylor,SEA,12,37,41,9,6,2,0,1,5,4,4,0,11,0,0,0,3,0,0.237
478,Vidal Bruján,MIA,48,148,164,33,22,7,1,3,20,15,12,0,34,2,1,1,8,3,0.222
479,Logan Porter,KCR,9,24,28,5,4,1,0,1,3,3,3,0,8,0,0,0,0,0,0.221
480,Tyler Heineman,BOS,15,41,46,9,6,2,0,0,4,3,4,0,9,0,0,0,0,0,0.225
481,Richie Palacios,TBR,42,136,154,33,22,8,1,3,17,16,14,0,25,2,1,1,3,1,0.244
482,Jake Alu,WSN,31,107,117,27,19,6,0,2,12,11,7,0,24,1,1,0,3,1,0.25
483,Jose Miranda,MIN,41,150,163,38,26,8,0,4,18,19,10,0,28,2,1,0,1,0,0.256
484,Angel Martínez,CLE,18,48,52,11,8,2,0,1,5,5,3,0,11,0,0,0,1,0,0.234
485,Austin Wynns,CIN,24,73,81,16,12,3,0,2,7,8,6,0,20,1,0,1,0,0,0.224
486,Nick Martini,CIN,23,71,81,17,11,3,0,3,9,10,8,0,19,2,1,0,0,0,0.242
487,Thomas Saggese,STL,6,19,21,5,3,1,0,1,2,3,1,0,5,0,0,0,0,0,0.253
488,Casey Schmitt,SFG,42,144,156,34,23,7,0,3,16,16,8,0,36,2,1,1,1,0,0.235
489,Jorge Barrosa,ARI,6,23,26,6,4,1,0,0,3,2,2,0,5,0,0,0,0,0,0.239
490,Ronny Mauricio,NYM,7,30,31,7,5,1,0,1,4,3,2,0,7,0,0,0,1,0,0.249
491,Tyler Gentry,KCR,21,71,81,17,11,4,0,2,8,8,7,0,20,1,1,0,1,0,0.237
492,Franchy Cordero,,27,74,82,17,10,3,0,3,10,10,7,0,26,1,0,0,1,0,0.224
493,Wil Myers,,33,116,128,27,17,6,0,4,14,15,11,0,39,0,1,0,2,1,0.233
494,Kyren Paris,LAA,16,52,59,11,7,3,0,1,7,5,6,0,19,0,0,0,3,0,0.215
495,César Salazar,HOU,10,26,28,5,4,1,0,0,3,3,2,0,6,1,0,0,0,0,0.209
496,Tommy La Stella,,27,82,91,20,14,4,0,2,9,9,7,0,14,1,1,0,0,0,0.241
497,Carlos Pérez,,18,48,51,10,7,2,0,1,4,5,3,0,8,0,1,0,0,0,0.22
498,Romy Gonzalez,BOS,38,120,129,27,17,5,1,4,16,14,6,0,43,1,1,0,5,1,0.226
499,Mike Brosseau,KCR,14,41,45,9,6,2,0,1,5,5,3,0,12,1,0,0,0,0,0.228
500,Jorbit Vivas,NYY,6,20,23,5,4,1,0,0,3,2,2,0,3,1,0,0,0,0,0.242
501,Kevin Newman,ARI,15,55,59,15,11,3,0,1,6,5,3,0,8,0,0,0,1,0,0.265
502,Damiano Palmegiani,TOR,10,31,34,7,4,1,0,1,4,4,3,0,10,0,0,0,0,0,0.214
503,Ernie Clement,TOR,20,58,62,15,11,3,0,1,7,7,3,0,7,0,0,1,1,0,0.258
504,Matt Duffy,TEX,54,149,163,38,30,6,0,1,15,13,11,0,31,2,1,0,1,0,0.252
505,Jacob Amaya,MIA,22,70,78,16,11,4,0,1,9,7,7,0,16,0,0,0,1,0,0.228
506,Blake Perkins,MIL,25,72,82,16,10,3,0,2,10,8,9,0,22,0,0,0,2,0,0.22
507,Mark Mathias,CIN,15,35,40,8,5,2,0,1,4,4,4,0,11,0,0,0,1,0,0.231
508,Donny Sands,DET,19,47,51,10,7,2,0,1,4,4,4,0,12,0,0,0,0,0,0.22
509,Ryan Bliss,SEA,16,64,69,14,10,3,0,2,8,6,4,0,17,0,0,0,3,1,0.223
510,DJ Stewart,NYM,69,225,258,49,28,9,0,11,29,32,26,1,76,5,1,1,2,0,0.217
511,Aaron Hicks,LAA,97,325,377,74,51,12,1,9,46,37,48,1,88,2,2,1,6,2,0.227
512,Jose Herrera,ARI,30,88,100,19,15,4,0,1,10,8,10,0,24,0,0,2,0,0,0.215
513,David Hamilton,BOS,9,27,30,6,4,1,0,1,4,3,3,0,8,0,0,0,1,0,0.222
514,Austin Martin,MIN,14,49,56,11,8,2,0,1,6,5,5,0,11,2,0,0,2,0,0.232
515,Jason Delay,PIT,36,110,121,25,18,5,0,1,12,10,8,0,31,2,0,1,0,0,0.225
516,Ryan McKenna,BAL,27,70,78,16,10,3,0,2,10,7,6,0,25,1,0,1,2,0,0.223
517,Alan Trejo,COL,40,129,139,32,21,7,0,3,15,16,8,0,33,1,1,0,2,1,0.246
518,Cooper Hummel,SFG,11,35,40,7,4,2,0,1,5,3,5,0,12,1,0,0,1,0,0.204
519,Victor Scott II,STL,9,32,35,8,6,1,0,0,4,3,2,0,7,1,0,0,2,0,0.243
520,Oliver Dunn,MIL,6,21,23,4,3,1,0,1,3,2,3,0,8,0,0,0,0,0,0.212
521,Israel Pineda,WSN,8,25,27,5,3,1,0,1,2,3,2,0,8,0,0,0,0,0,0.217
522,Drew Romo,COL,11,39,42,10,7,2,0,1,5,4,2,0,8,0,0,0,1,0,0.253
523,Brett Wisely,SFG,24,75,85,17,11,4,0,1,9,8,7,0,22,1,1,1,2,1,0.219
524,Evan White,LAA,13,45,49,10,6,2,0,2,5,6,4,0,13,1,0,0,0,0,0.226
525,Terrin Vavra,BAL,22,46,52,11,8,2,0,1,6,5,5,0,11,1,0,1,1,0,0.243
526,David Fletcher,ATL,38,134,143,35,28,6,0,1,16,12,7,0,13,1,0,1,2,1,0.264
527,Kyle Lewis,,19,66,74,15,10,3,0,3,8,9,7,0,21,1,0,0,0,0,0.229
528,Diego Castillo,BAL,15,35,39,8,6,1,0,1,5,4,3,0,8,0,0,0,0,0,0.231
529,Jo Adell,LAA,69,247,270,55,32,11,1,11,32,33,18,1,92,3,1,0,4,1,0.224
530,Danny Mendick,,23,66,72,16,12,3,0,1,8,7,5,0,15,1,0,0,1,0,0.238
531,Zach Remillard,,24,78,87,18,13,3,0,1,9,7,6,0,23,2,0,1,2,1,0.226
532,Nathan Lukes,TOR,37,79,86,20,14,4,0,1,9,8,6,0,17,1,1,0,1,0,0.253
533,Joey Bart,SFG,23,76,83,17,12,2,0,2,8,8,6,0,26,1,0,0,0,0,0.217
534,Jordan Groshans,,9,33,36,8,6,2,0,1,4,3,3,0,7,0,0,0,0,0,0.239
535,Taylor Trammell,SEA,34,103,118,21,12,4,0,4,13,13,12,0,39,1,1,0,2,1,0.2
536,Andy Pages,,13,38,42,9,5,2,0,1,5,5,4,0,12,1,0,0,0,0,0.226
537,Austin Shenton,TBR,7,24,27,5,4,1,0,1,3,3,3,0,8,0,0,0,0,0,0.225
538,Leo Jimenez,TOR,6,23,25,5,4,1,0,0,3,3,2,0,5,1,0,0,0,0,0.241
539,Brett Phillips,CHW,44,98,111,17,11,3,1,3,13,10,11,0,46,1,1,1,4,1,0.178
540,Justyn-Henry Malloy,DET,23,79,91,19,13,4,0,2,10,9,12,0,25,1,0,0,0,0,0.237
541,Andre Lipcius,LAD,8,24,27,6,4,1,0,0,3,3,3,0,5,0,0,0,0,0,0.241
542,AJ Pollock,,55,182,198,45,28,9,1,7,23,24,13,0,41,1,2,0,2,1,0.247
543,Joey Votto,,80,278,322,60,34,12,1,12,34,40,37,1,88,5,1,0,0,0,0.215
544,Chadwick Tromp,ATL,7,22,24,5,3,1,0,1,3,3,2,0,6,0,0,0,0,0,0.214
545,Brady House,WSN,8,30,32,7,5,1,0,1,3,3,2,0,9,1,0,0,0,0,0.244
546,Rob Brantly,TBR,15,49,54,11,8,2,0,1,5,5,3,0,10,2,0,0,0,0,0.226
547,Jake Cave,PHI,40,133,148,31,20,7,1,4,17,17,11,0,41,2,1,0,1,0,0.232
548,Vinny Capra,MIL,11,30,34,7,5,2,0,0,4,3,3,0,7,0,0,0,0,0,0.24
549,Gavin Sheets,CHW,78,265,301,61,40,12,0,10,26,34,32,1,60,2,2,0,1,0,0.232
550,Korey Lee,CHW,38,122,131,26,18,5,0,3,12,12,7,0,39,1,1,0,2,1,0.211
551,Alika Williams,PIT,18,52,57,12,9,3,0,1,6,5,4,0,14,0,0,0,0,0,0.229
552,Charlie Blackmon,COL,108,418,469,114,77,22,4,10,59,51,37,1,75,8,3,2,4,1,0.272
553,Hanser Alberto,,30,98,104,25,17,5,0,2,10,11,3,0,15,1,1,1,1,0,0.252
554,Brett Sullivan,SDP,14,43,47,10,7,2,0,1,5,5,3,0,8,0,0,0,1,0,0.233
555,Michael Pérez,BAL,9,29,32,6,4,1,0,1,3,3,3,0,8,0,0,0,0,0,0.193
556,Coco Montes,COL,9,26,28,6,4,1,0,1,3,3,2,0,8,0,0,0,0,0,0.241
557,Kenedy Corona,HOU,9,30,33,7,4,1,0,1,4,3,2,0,10,0,0,0,1,0,0.22
558,Connor Norby,BAL,8,24,26,6,5,1,0,0,3,3,2,0,6,0,0,0,0,0,0.247
559,James Wood,WSN,24,85,95,20,12,4,0,3,11,11,8,0,31,1,0,0,2,0,0.229
560,Kyle Stowers,BAL,13,40,45,9,6,2,0,1,5,5,4,0,14,0,0,0,0,0,0.222
561,Nasim Nuñez,WSN,26,96,109,21,17,4,0,1,12,7,11,0,24,1,1,1,6,1,0.222
562,Tony Kemp,CIN,51,168,191,40,30,8,1,2,21,16,19,0,22,2,1,2,7,1,0.24
563,Julio Carreras,COL,11,43,47,11,7,3,0,1,6,4,3,0,11,0,0,0,1,0,0.247
564,Andrew Stevenson,,24,43,47,10,8,2,0,1,5,4,3,0,11,1,0,0,2,0,0.242
565,Jonatan Clase,SEA,16,41,46,9,6,2,0,1,5,4,4,0,14,0,0,0,3,0,0.21
566,Kyle McCann,OAK,6,21,23,4,2,1,0,1,2,2,2,0,9,0,0,0,0,0,0.185
567,Yasiel Puig,,15,58,64,14,9,3,0,2,7,7,5,0,16,1,0,0,1,0,0.237
568,Jake Marisnick,LAA,17,46,50,10,7,2,0,1,5,5,3,0,14,1,0,0,1,0,0.227
569,Wenceel Pérez,DET,8,28,31,7,5,1,0,0,4,3,2,0,6,0,0,0,1,0,0.244
570,Jake Bauers,MIL,66,208,238,46,27,10,0,9,27,26,27,0,73,1,1,0,4,1,0.221
571,Pedro León,HOU,6,19,21,4,2,1,0,1,2,2,2,0,7,0,0,0,1,0,0.198
572,Ji Man Choi,,32,107,123,24,15,5,0,4,13,15,15,0,36,1,1,0,0,0,0.224
573,Tyler Wade,SDP,37,78,86,18,13,3,0,1,10,5,6,0,21,1,0,1,6,1,0.225
574,Graham Pauley,SDP,12,43,47,11,7,2,0,2,6,6,3,0,10,1,0,0,1,0,0.246
575,Conner Capel,CIN,14,34,38,8,6,2,0,1,4,4,4,0,10,0,0,0,2,0,0.239
576,Travis Blankenhorn,WSN,12,32,35,7,4,2,0,1,4,4,3,0,9,0,0,0,0,0,0.225
577,Jimmy Herron,COL,6,21,24,5,3,1,0,1,3,3,2,0,5,0,0,0,1,0,0.246
578,Luke Williams,ATL,22,42,45,9,6,2,0,1,5,3,3,0,13,0,0,0,4,0,0.215
579,Kevin Pillar,,53,169,181,39,24,8,1,7,22,22,8,0,41,2,1,0,3,1,0.232
580,Emmanuel Rivera,ARI,60,209,229,53,35,11,1,6,27,26,16,0,47,2,2,0,1,0,0.253
581,Jose Iglesias,NYM,9,34,36,9,6,2,0,0,3,3,2,0,6,0,0,0,0,0,0.255
582,Brian Serven,TOR,8,26,28,5,3,1,0,1,2,3,2,0,8,0,0,0,0,0,0.19
583,Jonah Bride,MIA,21,66,77,15,11,3,0,1,8,7,8,0,15,2,0,0,0,0,0.23
584,Josh Harrison,,31,106,115,26,19,6,0,2,12,11,6,0,21,2,1,0,1,0,0.248
585,Blaze Alexander,ARI,7,20,22,5,4,1,0,0,3,2,2,0,7,0,0,0,0,0,0.224
586,Lazaro Armenteros,OAK,7,24,27,5,3,1,0,1,3,2,2,0,11,0,0,0,1,0,0.199
587,Tyler Soderstrom,OAK,81,281,306,61,39,11,1,9,28,34,19,1,88,2,2,1,1,0,0.217
588,Aaron Schunk,COL,8,27,29,7,4,2,0,1,3,3,2,0,8,0,0,0,0,0,0.242
589,Tyler Fitzgerald,SFG,11,38,41,8,5,2,0,1,5,5,3,0,12,0,0,0,1,0,0.221
590,J.P. Martínez,ATL,20,63,71,13,9,3,0,2,9,7,7,0,23,1,1,0,3,1,0.214
591,Canaan Smith-Njigba,PIT,18,56,63,13,9,3,0,1,7,6,6,0,18,1,0,0,2,0,0.232
592,Livan Soto,LAA,8,23,26,5,4,1,0,0,3,2,2,0,6,0,0,0,0,0,0.219
593,Jesús Aguilar,,36,105,116,24,16,4,0,4,11,13,9,1,27,1,1,0,0,0,0.228
594,Peyton Burdick,CHW,8,22,25,4,2,1,0,1,3,3,2,0,10,0,0,0,0,0,0.197
595,Darin Ruf,,17,54,62,12,8,2,0,2,7,7,7,0,17,1,0,0,0,0,0.225
596,Grae Kessinger,HOU,24,68,76,14,10,3,0,2,8,7,7,0,20,1,0,0,1,0,0.206
597,Ehire Adrianza,,11,29,33,7,4,1,0,1,3,3,3,0,8,0,0,0,0,0,0.221
598,Jhonkensy Noel,CLE,14,37,40,8,5,2,0,1,4,5,3,0,11,1,0,0,0,0,0.223
599,Joey Wendle,NYM,80,275,296,66,45,15,2,3,31,25,14,0,60,4,2,1,7,2,0.239
600,TJ Hopkins,DET,11,28,30,6,5,1,0,1,3,3,3,0,9,0,0,0,0,0,0.231
601,Brennen Davis,CHC,14,43,48,9,6,2,0,1,5,4,4,0,14,1,0,0,1,0,0.216
602,Miguel Sanó,LAA,31,114,129,24,13,5,0,7,17,18,14,0,45,1,1,0,1,0,0.215
603,Matt Carpenter,STL,44,134,160,28,16,7,0,5,17,20,22,0,44,2,1,0,1,0,0.207
604,Oscar Gonzalez,NYY,34,112,118,29,20,6,0,3,12,13,4,0,28,1,1,0,0,0,0.257
605,Taylor Kohlwey,NYM,15,40,44,9,6,2,0,1,4,4,4,0,11,1,0,0,1,0,0.222
606,Luis Liberato,ATL,9,22,24,5,3,1,0,1,3,2,2,0,7,0,0,0,0,0,0.208
607,Johnathan Rodriguez,CLE,10,35,38,8,6,2,0,1,4,5,3,0,12,0,0,0,0,0,0.235
608,Sandy León,KCR,18,42,47,8,6,1,0,1,5,4,4,0,15,0,0,1,0,0,0.19
609,Tomás Nido,NYM,10,28,30,6,5,1,0,0,3,3,1,0,8,0,0,1,0,0,0.217
610,Victor Reyes,,10,31,33,8,6,1,0,1,3,3,2,0,8,0,0,0,0,0,0.248
611,Troy Johnston,MIA,20,75,83,18,12,4,0,2,9,9,6,0,18,1,1,0,1,0,0.243
612,Ben Gamel,,24,75,85,17,13,3,0,2,10,9,9,0,21,0,0,0,1,0,0.231
613,Rece Hinds,CIN,6,21,22,5,3,1,0,1,2,3,1,0,8,0,0,0,0,0,0.221
614,David Hensley,HOU,14,47,53,10,6,2,0,1,6,4,6,0,17,0,0,0,1,0,0.204
615,Anthony Bemboom,DET,12,25,28,5,4,1,0,0,3,2,2,0,6,0,0,0,0,0,0.203
616,Leury García,ATL,18,63,68,16,12,3,0,1,8,6,4,0,15,0,0,1,1,0,0.249
617,Símon Muzziotti,PHI,10,29,33,7,6,1,0,0,4,3,2,0,6,0,0,1,1,0,0.247
618,Darick Hall,PHI,15,52,57,12,7,3,0,2,6,7,4,0,15,0,0,0,0,0,0.226
619,Rafael Ortega,,31,81,92,18,12,3,0,2,10,7,10,0,21,1,1,0,3,1,0.218
620,Clint Frazier,,29,65,75,13,9,3,0,2,8,6,8,0,23,1,0,0,2,0,0.204
621,Dustin Harris,TEX,8,24,27,5,4,1,0,0,3,3,2,0,7,0,0,0,1,0,0.231
622,Irving Lopez,,21,48,54,10,7,2,0,1,5,5,4,0,14,1,1,0,0,0,0.214
623,Bubba Thompson,CIN,15,39,42,9,7,1,0,1,5,4,2,0,12,0,0,0,2,0,0.235
624,Jared Young,STL,14,48,52,11,7,2,0,1,6,6,4,0,14,1,0,0,1,0,0.228
625,Greg Allen,,12,25,29,5,4,1,0,1,4,3,2,0,8,1,0,0,1,0,0.216
626,Kyle Garlick,,27,62,67,13,8,3,0,3,7,8,4,0,22,1,0,0,0,0,0.215
627,Gilberto Celestino,PIT,15,52,58,12,9,3,0,1,5,5,6,0,12,0,0,0,1,0,0.238
628,Mason McCoy,SDP,14,21,22,4,3,1,0,0,2,2,2,0,10,0,0,0,1,0,0.198
629,José Azocar,SDP,93,270,292,64,46,12,2,4,32,24,13,0,71,2,1,5,14,4,0.238
630,Tyler Nevin,BAL,15,42,47,10,8,1,0,1,7,6,4,0,10,0,0,0,0,0,0.235
631,Weston Wilson,PHI,15,44,49,9,6,2,0,1,6,5,4,0,15,0,0,0,3,0,0.208
632,José Tena,CLE,16,46,50,11,8,2,0,1,5,5,3,0,15,0,0,0,1,0,0.232
633,Raimel Tapia,,60,197,215,49,36,9,1,3,25,20,15,0,44,1,1,1,8,2,0.252
634,Nathan Martorella,SDP,13,44,49,10,7,2,0,1,5,6,4,0,11,0,0,0,0,0,0.229
635,Bobby Dalbec,BOS,67,217,241,47,28,8,1,10,29,30,20,0,93,3,1,0,3,1,0.219
636,Jonathan Davis,MIA,19,57,65,13,9,2,0,1,8,5,6,0,17,1,0,0,2,1,0.223
637,Elehuris Montero,COL,99,362,396,92,55,19,1,17,50,55,26,0,114,6,3,0,1,1,0.253
638,Adam Engel,,17,36,39,8,5,1,0,1,4,3,2,0,12,1,0,0,1,0,0.211
639,Billy McKinney,PIT,24,66,74,14,8,3,0,2,8,8,7,0,20,1,1,0,0,0,0.212
640,Trey Cabbage,HOU,18,54,58,11,7,2,0,2,7,7,4,0,23,0,0,0,2,0,0.214
641,Alfonso Rivas,STL,26,80,91,19,13,5,0,1,9,8,9,0,25,1,0,0,1,0,0.236
642,Óscar Mercado,SDP,35,101,109,23,15,5,1,2,12,11,7,0,24,1,1,0,4,1,0.225
643,Bryce Johnson,SDP,23,47,52,11,8,2,0,1,6,4,4,0,16,0,0,0,2,1,0.223
644,Willie Calhoun,LAA,22,70,78,17,13,3,0,2,9,9,7,0,11,0,0,0,0,0,0.243
645,Tim Locastro,,32,60,66,13,9,3,0,1,9,5,3,0,18,2,0,1,5,0,0.22
646,Luke Voit,NYM,29,101,114,22,13,4,0,5,12,15,11,0,38,1,0,0,0,0,0.219
647,Justin Foscue,TEX,37,133,151,31,20,8,0,4,18,17,14,0,27,3,2,0,2,1,0.232
648,Forrest Wall,ATL,38,90,99,21,15,4,1,1,13,8,8,0,28,1,0,0,10,2,0.23
649,Jonathan Araúz,LAD,21,49,54,9,6,2,0,1,5,6,4,0,14,0,0,1,0,0,0.194
650,Brad Miller,TEX,27,81,92,17,11,3,0,3,9,10,9,0,27,0,1,0,1,0,0.213
651,Harold Castro,,47,161,171,42,32,8,0,2,16,17,7,0,37,1,1,1,1,0,0.26
652,Tirso Ornelas,SDP,16,60,66,14,10,3,0,1,7,6,5,0,15,0,0,0,0,0,0.235
653,Zach DeLoach,CHW,16,56,62,12,8,2,0,1,7,6,5,0,20,0,0,0,0,0,0.219
654,Adam Haseley,,34,55,61,13,9,2,0,1,6,5,4,0,13,1,0,1,1,0,0.229
655,Michael Siani,STL,19,39,44,8,6,1,0,1,5,4,4,0,10,0,0,0,2,0,0.211
656,Tyler Naquin,,22,67,73,15,10,3,0,2,8,8,4,0,25,1,0,0,1,0,0.227
657,Moisés Gómez,STL,13,42,45,8,5,2,0,1,4,5,3,0,16,0,0,0,0,0,0.204
658,Hunter Dozier,,19,66,73,15,9,3,0,2,8,8,6,0,21,0,0,0,1,0,0.222
659,P.J. Higgins,CIN,14,40,43,9,6,2,0,1,4,4,3,0,12,0,0,0,0,0,0.226
660,Yuli Gurriel,,51,177,193,45,31,10,1,3,20,20,13,0,26,1,2,0,2,1,0.257
661,Trayce Thompson,NYM,30,86,98,17,11,2,0,3,11,12,11,0,38,1,0,0,1,0,0.196
662,Eddie Rosario,,94,338,367,83,53,16,2,12,41,46,24,1,81,1,3,1,4,1,0.244
663,Andrew Velazquez,ATL,34,75,82,15,10,3,0,2,10,6,6,0,27,0,0,1,6,1,0.206
664,Lewin Díaz,WSN,18,51,56,11,6,2,0,2,5,6,4,0,14,1,0,0,0,0,0.206
665,Jose Barrero,CIN,25,84,92,18,11,4,0,2,10,10,6,0,31,2,0,0,2,1,0.209
666,Jahmai Jones,NYY,15,36,40,8,5,2,0,1,4,4,4,0,12,0,0,0,1,0,0.222
667,Kody Clemens,PHI,22,65,71,14,10,2,0,2,9,9,5,0,19,0,0,0,0,0,0.218
668,Trey Mancini,,43,150,167,36,25,8,0,4,18,19,14,0,43,2,1,0,0,0,0.242
669,Dylan Crews,WSN,45,165,183,38,26,8,0,4,19,17,13,0,48,3,1,1,4,2,0.228
670,Nate Eaton,KCR,23,51,55,11,8,2,0,1,6,5,3,0,16,1,0,0,3,0,0.213
671,Dane Myers,MIA,21,66,72,17,13,2,0,1,9,8,5,0,18,1,0,0,1,0,0.255
672,Stone Garrett,WSN,87,294,323,70,41,15,1,12,38,41,21,1,97,3,3,0,6,2,0.237
673,Derek Hill,TEX,13,39,42,9,6,2,0,1,5,3,3,0,11,0,0,0,1,0,0.232
674,Joey Meneses,WSN,134,528,571,138,96,27,1,14,58,64,35,1,121,4,4,1,0,0,0.261
675,Jared Walsh,,63,194,214,42,26,9,0,8,23,25,17,1,68,2,1,0,1,0,0.219
676,Bligh Madris,DET,18,44,49,9,6,2,0,1,5,4,4,0,13,0,0,0,1,0,0.199
677,Jackie Bradley Jr.,,34,106,117,22,15,5,0,2,12,10,8,0,29,2,1,1,1,0,0.206
678,Heliot Ramos,SFG,17,54,59,13,8,3,0,1,7,6,4,0,17,0,0,0,1,0,0.234
679,Luken Baker,STL,24,73,81,17,12,3,0,2,10,11,7,0,22,0,0,0,0,0,0.23
680,Kole Calhoun,,44,157,173,35,22,7,1,5,18,20,13,0,43,2,1,0,1,0,0.221
681,Oscar Colás,CHW,48,171,184,41,28,8,0,5,21,19,10,1,49,1,1,1,2,1,0.238
682,Nick Pratto,KCR,55,190,217,41,24,9,1,6,24,23,21,1,77,3,2,0,1,1,0.214
683,Corey Dickerson,,47,160,171,41,28,8,1,3,18,18,9,0,32,1,1,0,1,1,0.254
684,Corey Julks,HOU,30,103,113,24,17,5,0,3,13,12,9,0,27,1,0,0,4,1,0.237
685,Cal Mitchell,SDP,37,119,130,28,19,6,0,3,13,14,9,0,34,1,1,0,1,1,0.234
686,David Peralta,CHC,67,236,257,61,40,14,1,5,27,30,17,1,50,2,2,0,2,1,0.258
687,Mike Ford,,36,114,129,24,15,3,0,6,15,16,13,0,36,1,0,0,0,0,0.214
688,Bradley Zimmer,COL,22,62,70,12,8,2,0,1,8,5,6,0,26,2,0,0,3,1,0.196
689,Avisaíl García,MIA,81,289,316,69,47,11,1,10,33,37,20,1,89,5,2,0,4,1,0.239
690,Mike Moustakas,,42,144,159,32,21,7,0,5,17,18,11,0,39,2,2,0,0,0,0.225
691,Jordyn Adams,LAA,33,85,93,18,13,3,0,2,10,7,6,0,31,1,1,0,3,0,0.212
692,Cristian Pache,PHI,52,151,168,33,22,7,1,3,18,16,13,0,46,1,1,2,3,1,0.218
693,Matthew Batten,SDP,43,135,151,30,22,5,0,2,16,12,14,0,39,1,1,0,4,1,0.22
694,Jon Singleton,HOU,38,118,137,23,14,5,0,4,15,15,17,0,37,1,1,0,0,0,0.198
695,Cam Gallagher,,34,94,101,18,13,4,0,1,8,8,5,0,28,1,0,1,0,0,0.188
696,Everson Pereira,NYY,17,62,67,13,8,3,0,2,8,8,5,0,23,0,0,0,2,0,0.214
697,Michael Toglia,COL,31,108,119,23,14,5,1,4,13,13,10,0,36,1,1,0,1,0,0.218
698,Hunter Goodman,COL,78,287,315,71,41,17,2,12,38,46,21,0,85,3,3,0,2,1,0.248
699,Deyvison De Los Santos,CLE,50,188,200,44,30,8,0,5,21,22,9,0,56,1,1,0,1,0,0.234
700,Juan Yepez,WSN,27,89,96,21,13,4,0,3,10,12,6,0,23,1,0,0,0,0,0.235